"date","overseas","interstate","local_contact","local_unknown","under_investigation"
2020-01-22,1,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,1,0,0,0,0
2020-01-25,2,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,1,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,1,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,1,0
2020-02-27,1,0,0,0,0
2020-02-28,0,0,1,0,0
2020-02-29,1,0,0,0,0
2020-03-01,1,0,2,0,0
2020-03-02,1,0,1,0,0
2020-03-03,6,0,1,0,0
2020-03-04,2,0,6,0,0
2020-03-05,3,0,6,0,0
2020-03-06,3,0,5,0,0
2020-03-07,1,1,5,1,0
2020-03-08,3,0,5,1,0
2020-03-09,5,0,3,0,0
2020-03-10,6,0,0,0,0
2020-03-11,10,0,5,5,0
2020-03-12,11,1,8,3,0
2020-03-13,14,0,13,4,0
2020-03-14,11,1,9,4,0
2020-03-15,18,1,13,3,0
2020-03-16,36,0,13,1,0
2020-03-17,25,1,22,6,0
2020-03-18,39,1,23,1,0
2020-03-19,56,0,14,5,0
2020-03-20,83,0,35,13,0
2020-03-21,73,1,19,10,0
2020-03-22,141,7,25,8,0
2020-03-23,132,4,38,11,0
2020-03-24,144,2,38,12,0
2020-03-25,135,2,32,16,0
2020-03-26,142,3,36,18,0
2020-03-27,107,8,49,24,0
2020-03-28,86,2,24,10,0
2020-03-29,62,5,35,16,0
2020-03-30,42,3,21,12,0
2020-03-31,63,1,39,20,0
2020-04-01,43,5,41,26,0
2020-04-02,39,3,28,22,0
2020-04-03,28,4,30,18,0
2020-04-04,43,3,16,15,0
2020-04-05,28,1,19,8,0
2020-04-06,17,1,11,6,0
2020-04-07,7,0,16,7,0
2020-04-08,18,3,25,9,0
2020-04-09,19,0,7,4,0
2020-04-10,6,0,6,4,0
2020-04-11,6,0,3,2,0
2020-04-12,3,0,4,1,0
2020-04-13,0,0,4,1,0
2020-04-14,8,3,49,3,0
2020-04-15,1,0,5,0,0
2020-04-16,2,0,4,2,0
2020-04-17,1,1,3,8,0
2020-04-18,1,1,10,1,0
2020-04-19,0,0,6,2,0
2020-04-20,0,0,0,0,0
2020-04-21,1,0,3,2,0
2020-04-22,1,0,1,3,0
2020-04-23,0,0,1,1,0
2020-04-24,3,0,5,1,0
2020-04-25,2,0,1,0,0
2020-04-26,1,0,1,1,0
2020-04-27,4,0,1,1,0
2020-04-28,1,0,0,1,0
2020-04-29,1,0,0,0,1
2020-04-30,3,0,0,1,0
2020-05-01,0,0,2,3,0
2020-05-02,1,0,0,0,0
2020-05-03,1,0,0,0,0
2020-05-04,2,0,4,1,0
2020-05-05,0,1,0,3,0
2020-05-06,1,0,1,0,0
2020-05-07,0,0,2,1,0
2020-05-08,0,0,1,1,0
2020-05-09,1,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,0,0,0,0,0
